customerid,firstname,lastname,address1,address2,city,state,zip,country,region,email,phone,creditcardtype,creditcard,creditcardexpiration,username,password,age,income,gender
1,Justin,Elliott,373 Wendy Island,Suite 539,Gravesville,,74741,Pitcairn Islands,3,claytonking@example.net,,3,4549209759447656,08/29,shelly12,3@l2LuHBG(,49,133186,M
2,Craig,Hill,015 White Crossroad,,Lake Davidhaven,Texas,05902,Sri Lanka,2,alexandra26@example.org,695.756.6174,2,4815105137434902,07/25,oliviascott,@N8JyELbB*,39,,M
3,Eric,Mccormick,9355 Bailey Route,Suite 978,Emmashire,Idaho,06339,Japan,4,davisjohn@example.com,(865)376-8826x5003,2,6011351029878619,12/31,middletonzachary,)e3@hTv)L!,36,83872,M
4,Jordan,Ford,2890 Cody Road,,Lake Aprilport,South Carolina,46649,Kyrgyz Republic,4,franciscorobinson@example.net,,4,502076438998,05/32,erickeller,X4q!NJnx+j,37,70332,F
5,Douglas,Warren,4404 Martin Crossroad Apt. 040,Suite 366,Michealside,,,Seychelles,5,josesandoval@example.com,586-831-8164,2,501881929589,06/26,ryanmichael,&VT9r^WsDI,33,139130,M
6,Scott,Woods,697 Ramos Points Suite 850,,West Danielle,Vermont,83008,Greenland,5,polson@example.org,+1-557-391-1409,1,3572555746818066,01/33,ptaylor,Ty8bE*rFb_,34,,M
7,Jessica,Valentine,35280 Monica Station,,Miguelville,Alabama,42314,Malta,2,rossjason@example.net,437.377.8896x62755,1,180032604764998,09/24,daniel79,$8Gw+Dm9)a,80,,F
8,Christopher,Ferguson,60863 Erickson Roads,,Harrisbury,,,Tokelau,4,,,1,4433554401780403,10/32,shawnkennedy,$p#n#Srne7,34,,M
9,Melissa,Lucero,6023 William Harbors,,Pratttown,,30960,Bhutan,2,,310-663-0718x3123,1,180080252647254,01/33,lstewart,!u+JNZs*o9,52,167081,F
10,Matthew,Smith,169 West Plaza,Apt. 810,Vargasland,Texas,27876,Mauritania,1,cynthiarusso@example.com,,4,6517304241111037,07/31,martincheryl,)WwauWjFr7,31,113046,M
11,Alan,Lindsey,9581 Christopher Mountains,,Wadeview,Idaho,93518,New Caledonia,2,,227-937-9718,2,6584435442084421,11/24,nstephens,mDRz6HUo%$,82,76595,M
12,Christina,Robinson,688 Madison Bridge,,East Karen,Georgia,11339,Djibouti,5,coxryan@example.net,(547)720-3616x41769,2,3582681545813203,06/28,lmitchell,55sWq7yB!N,37,56003,F
13,Dana,Orr,76203 Burnett Roads Apt. 267,,Lake Jodi,Washington,52572,Guyana,1,bradleyhurley@example.com,,3,213161862526731,06/27,edwardskaitlin,iKxXM(qS$6,86,79676,F
14,Alexa,Fowler,054 Porter Mills Apt. 809,,South Tracystad,Tennessee,59440,Lebanon,5,quinnrickey@example.com,(355)249-5990x9149,1,3505898462796054,07/28,stewartsarah,sZONFl^0*7,58,149137,F
15,Charles,Harris,8168 Turner Prairie,,Deannabury,,02672,San Marino,4,,,4,2298880114331301,05/29,uleonard,(82KD%lOEv,28,125766,M
16,Jeffrey,Wheeler,44702 Robertson Inlet,,Leemouth,North Carolina,15434,Saint Helena,2,jason17@example.net,001-248-723-6322x20176,4,3598414901050166,04/30,perkinsmichael,Qwi6KMoZ_I,46,148334,M
17,Mark,Sparks,1299 Murphy Park Suite 527,Suite 920,Kellyberg,North Carolina,76604,Mexico,3,charles86@example.com,9255960168,4,6011260476235696,09/25,hodgeschristina,+ja$XiKL%7,41,,M
18,Colleen,Fuentes,8999 Hendrix Row Suite 591,,Sharpmouth,,49134,Lithuania,3,dhernandez@example.org,+1-316-312-0057x65702,4,675900873430,11/30,rachael88,@K9UM0MwBr,20,,F
19,Jesse,Baker,278 Wilson River,Apt. 815,South Taylor,Minnesota,63274,United States Virgin Islands,2,michellecarr@example.com,8245200916,2,4887602769761787,05/28,elizabeth98,(BnJJ4w#Z3,34,,M
20,Amanda,Bryant,205 Alvarez Harbors Suite 805,,Port Jeffreystad,Michigan,12482,Bahamas,1,baileybarry@example.com,,2,30055803007747,06/27,lawrencekristen,+7gBkVca_G,52,,F
21,John,Kramer,8222 Stein Creek Suite 009,,Smithshire,North Carolina,07846,Norway,3,pflores@example.org,,2,3573589080845582,06/30,carriesimmons,@!0@EI+f3a,84,127379,M
22,Jessica,Bartlett,54173 Humphrey Centers,,Sharonfurt,New Jersey,47371,Iran,3,sue12@example.com,(454)696-9309x1044,4,30122614776835,07/32,romerochelsea,*#miB7UgC@,36,53995,F
23,Jean,Smith,36897 Harris Bridge Suite 846,Suite 389,Lake Mike,New Mexico,,Faroe Islands,1,,688-503-4985x6659,1,3560508440174579,12/33,rioskevin,1EO$Sd+i@d,80,63140,F
24,Nancy,Scott,69594 Johnson Loaf,,Hudsonhaven,Texas,87560,Sierra Leone,1,ssalinas@example.com,,4,060457214009,10/30,christinemorris,3oR!dUe2$2,26,,F
25,Bradley,Smith,863 Clements Pike Apt. 418,,North Rachelton,,09326,Honduras,3,youngmorgan@example.org,904.215.0047x307,1,180059215630011,07/28,barbaradelacruz,)XOX$QqA0+,44,,M
26,Darren,Bowen,940 Wright Freeway Apt. 267,Apt. 330,Adamstown,Alaska,12172,Luxembourg,5,sandra11@example.org,,2,347144289840876,01/26,jacobwright,*zDzdU_H*5,53,128532,M
27,David,Fernandez,080 Parker Dale Suite 618,Suite 012,New Charlesfort,Wyoming,98228,New Caledonia,5,,,2,3590484417300395,08/33,ashleyallen,$)VpeTa27h,34,,M
28,Bryan,Jimenez,995 Lyons Flats Apt. 148,Suite 111,Lake Samuel,Wisconsin,,Switzerland,3,,396-619-7908x0219,3,4454059781355309,03/32,ymarshall,R2WnxJ8i)S,45,,M
29,Kelly,Jacobs,768 Harris Via,,Adamsbury,Indiana,93250,Italy,1,steven97@example.net,001-496-343-5619x2057,4,3570770954117216,08/25,danielcarpenter,&0v0ChkL^#,79,,F
30,Amanda,Woods,1989 Mitchell Inlet Apt. 061,,South Bradleyton,Rhode Island,90592,Cote d'Ivoire,4,kknight@example.net,222.341.2940,3,4852367621879216,04/29,kevin43,nx7B(i@hT+,81,,F
31,Sharon,Cook,96270 Vargas Flat Suite 534,,North Davidville,,57125,Mauritania,2,sydney69@example.org,,2,4554857091793521951,07/33,wglenn,!PZaHeu48G,65,66222,F
32,Stephanie,Cantu,2320 Nelson Springs,,Simmonsland,Iowa,80477,Brunei Darussalam,3,,+1-547-525-4727x14207,4,4153648720210204834,03/26,erobinson,^8VD%Gh4_u,59,155383,F
33,Amy,Conley,82762 Fields Underpass Suite 803,Suite 202,Brockstad,Maine,50391,Croatia,2,pfuentes@example.net,(379)729-2851,4,2247102492804490,11/33,michellewilson,A)9MjuSg4&,67,125219,F
34,Michael,Weber,74078 Smith Creek Suite 063,,New Jamesshire,Florida,62027,Italy,4,,3889379767,1,6525745050963126,07/30,melissa50,22I7D#x0%#,23,173828,M
35,Donald,Castro,88265 Bradley Route Suite 743,,East Davidhaven,Connecticut,46700,Sudan,4,shawnalexander@example.org,200.619.9897,3,3556642090534034,10/26,nicoleflores,t0g)1Kb8rJ,32,,M
36,Chelsea,Young,2266 Steven Heights Suite 059,,Lake Jesse,,14175,El Salvador,5,,,4,4088819854414653,04/31,walkercrystal,&BiAO%$20h,61,46171,F
37,Kelly,Cantrell,753 Delgado Ridges Suite 718,,North Kevinstad,,15243,Jordan,5,davidharris@example.org,(242)348-6577x546,3,30257731779963,08/29,esampson,C@6Cp!Un3C,29,33497,F
38,Anita,Stewart,0908 Lee Row Suite 061,,South Kevin,,,Bhutan,4,amanda42@example.com,(370)229-4176x92021,3,38623524298937,05/30,ehoward,Y@1p6sHzQh,73,47025,F
39,Laura,Thomas,719 Frederick Shoals,,East Adam,South Carolina,57271,Guinea,5,tallen@example.com,4726778556,3,6502071161131322,08/26,jacquelineschmitt,wCbR^1JypY,,192826,F
40,Melissa,Huff,3460 Blackburn Road,,South Isabelshire,Minnesota,44504,Moldova,2,alejandro94@example.net,001-510-443-8809x13949,2,6011094651144336,09/32,jasonhansen,N+96rSPmBb,31,115061,F
41,Corey,Williams,54145 Amanda Neck Suite 636,,New Henry,,56632,French Guiana,1,matthew86@example.net,+1-270-842-4080x217,2,3535661364923802,07/34,jhampton,$R8YPHxL%&,81,,M
42,Michael,Moore,817 Tracy Motorway,Apt. 840,Donnaville,Minnesota,06700,Poland,1,mooreerin@example.com,(835)772-5288x8659,1,379087331148858,07/26,christiansmith,O&N9eSCGGa,63,119938,M
43,James,Russell,24548 Sharon Views,,East Jasmine,Alaska,10180,Grenada,3,stevefrench@example.org,883.831.3251,1,4579512456604146,09/32,shannon40,^HsmYJfjb1,50,75207,M
44,John,Cummings,604 Megan Avenue Suite 403,,Meganbury,Mississippi,49539,United States Virgin Islands,3,michellegomez@example.com,001-288-685-9684x30897,2,3557428222225827,12/32,ylara,^_J6HeNEC5,33,,M
45,Lisa,Mckay,98571 Alexis Cape Suite 503,Apt. 011,Mistyfurt,West Virginia,34244,Somalia,3,jon28@example.net,+1-553-529-1903x1795,4,676136010722,08/33,ypalmer,&$9MP7Jd2$,55,,F
